creation_date,job_title,country,category,salary_min,salary_max,salary_predicted,description,work_mode,skills,salary_min_raw,salary_max_raw,salary_avg,year
2025-05-20 16:19:56+00:00,Market Data Admin and Compliance Support Analyst,GB,IT Jobs,41806.14,41806.14,1,"Job Title: Market Data Admin and Compliance Support Analyst Location: London Contract Length: 6 Months About Our Client: Our client is a leading organisation in the financial services sector, dedicated to providing exceptional services while maintaining strict compliance and data integrity. They are currently seeking a detail-oriented and proactive Market Data Admin and Compliance Support Analyst to join their team on a six-month fixed-term contract. Role Overview: As a Market Data Admin and Co…",Onsite,r,41806.14,41806.14,41806.14,2025
2025-05-20 16:19:10+00:00,Data Analyst,GB,IT Jobs,91000.0,104000.0,0,"Job Title: Data Analyst Location: London/ Hybrid - 2 days in-office: Tuesday & Friday Duration: Initial 6 months Day Rate: £350 - £400 per day (depending on level of experience) About the Role: We're looking for a skilled and analytical Data Analyst to support a variety of workforce-related projects while our high-profile banking clients overseas operations get up and running! Based in London with flexible remote options, you'll be working closely with project teams to deliver data-driven insig…",Remote,r,91000.0,104000.0,97500.0,2025
2025-05-20 16:13:19+00:00,Asset Data Analyst,GB,IT Jobs,39248.0,39248.0,0,"Asset Data Analyst Salary Up to £39,248 Location Didsbury, Manchester Permanent, Full Time Reporting to the Data and Planning Manager, you will play a key role in supporting the delivery of Great Places’ Corporate Plan, Asset Management, and Sustainability Strategies. This role’s primary responsibility is to provide research, analytical insights, and quality assurance across the organisation. You will ensure data accuracy and integrity, meeting both internal and external requirements. Effective…",Onsite,r,39248.0,39248.0,39248.0,2025
2025-05-20 16:12:55+00:00,Senior MI Analyst,GB,IT Jobs,50000.0,58000.0,0,"Senior MI Analyst – 6-month Fixed Term Contract - Central Nottingham / Hybrid £50,000 - £58,000  35-hour work week and great benefits This profitable and multi-national business are looking to add an experienced MI Analyst to their collaborative team, who will be responsible for the design, development and maintenance of the firms MI and data analytics solutions. This role leans itself to be more of a ‘Business Data Analyst role’, where you will act as the bridge between the data team and wider…",Hybrid,r,50000.0,58000.0,54000.0,2025
2025-05-20 16:12:38+00:00,Data Analyst,GB,IT Jobs,35000.0,50000.0,0,"Data Analyst - Up to £50,000  Hybrid Working (3 Days Onsite)  Leeds City Centre |  SQL | Excel | Power BI | Python Are you a data-driven thinker who loves turning numbers into insights? We're hiring a Data Analyst to join a growing team based in Leeds City Centre, offering a hybrid setup with 3 days a week onsite. In this role, you'll be working closely with business stakeholders to clean, analyse, and interpret data, uncover trends, and deliver actionable insights that support smart decision-m…",Hybrid,"excel, power bi, python, r, sql",35000.0,50000.0,42500.0,2025
2025-05-20 16:08:52+00:00,Data Analysis Needed For Insights into a Time Management Survey,GB,IT Jobs,35130.05,35130.05,1,"Data Analysis Expert Needed: Developing Alternative Methodology for Time Management Survey Data - Excel or SPSS Project Overview I'm seeking an experienced data analyst to develop an alternative methodology for analyzing my time management survey data. The current analysis approach isn't providing enough differentiation between respondents, making it difficult to draw meaningful insights or make data-driven decisions. Current Problem My time management survey collects data on how individuals al…",Onsite,"excel, r",35130.05,35130.05,35130.05,2025
2025-05-20 16:07:25+00:00,Remote Travel Business Development / Sales Coach - World 1 Franchise,GB,Sales Jobs,35000.0,35000.0,0,"Want to make a difference? Want to be a part of the fastest-growing travel business in the UK? Want to join the world's 1 lifestyle franchise? Want more than just a job? If so, we're ready for you… Get ready to join a multi-award-winning travel business brand that has grown 4000% in the last 10 years since shaking up the industry in 2011? We are no ordinary travel business as we are changing lives every single day. You'll be helping Travel Consultants find customers, close deals, and sell more.…",Onsite,r,35000.0,35000.0,35000.0,2025
2025-05-20 16:07:25+00:00,Remote Travel Business Development / Sales Coach - World 1 Franchise,GB,Sales Jobs,35000.0,35000.0,0,"Want to make a difference? Want to be a part of the fastest-growing travel business in the UK? Want to join the world's 1 lifestyle franchise? Want more than just a job? If so, we're ready for you… Get ready to join a multi-award-winning travel business brand that has grown 4000% in the last 10 years since shaking up the industry in 2011? We are no ordinary travel business as we are changing lives every single day. You'll be helping Travel Consultants find customers, close deals, and sell more.…",Onsite,r,35000.0,35000.0,35000.0,2025
2025-05-20 16:07:25+00:00,Remote Travel Business Development / Sales Coach - World 1 Franchise,GB,Sales Jobs,35000.0,35000.0,0,"Want to make a difference? Want to be a part of the fastest-growing travel business in the UK? Want to join the world's 1 lifestyle franchise? Want more than just a job? If so, we're ready for you… Get ready to join a multi-award-winning travel business brand that has grown 4000% in the last 10 years since shaking up the industry in 2011? We are no ordinary travel business as we are changing lives every single day. You'll be helping Travel Consultants find customers, close deals, and sell more.…",Onsite,r,35000.0,35000.0,35000.0,2025
2025-05-20 16:07:25+00:00,Remote Travel Business Development / Sales Coach - World 1 Franchise,GB,Sales Jobs,35000.0,35000.0,0,"Want to make a difference? Want to be a part of the fastest-growing travel business in the UK? Want to join the world's 1 lifestyle franchise? Want more than just a job? If so, we're ready for you… Get ready to join a multi-award-winning travel business brand that has grown 4000% in the last 10 years since shaking up the industry in 2011? We are no ordinary travel business as we are changing lives every single day. You'll be helping Travel Consultants find customers, close deals, and sell more.…",Onsite,r,35000.0,35000.0,35000.0,2025
